web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,price,Address,bedrooms,bathrooms,Squarefeet,datesold
1680469792-22,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/1558-N-123rd-St-Wauwatosa-WI-53226/110749575_zpid/,": $450,000","1558 North 123rd ST, Wauwatosa, WI 53226",3 bd,2 ba,"1,657 sqft","Sold: $450,000Sold on 03/17/23Zestimate®: $454,200"
1680469798-23,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/2551-N-95th-St-Wauwatosa-WI-53226/110722546_zpid/,": $450,000","2551 North 95th ST, Wauwatosa, WI 53226",4 bd,3 ba,"2,230 sqft","Sold: $450,000Sold on 03/17/23Zestimate®: $454,200"
1680469806-24,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/12223-Woodside-Ct-Wauwatosa-WI-53226/110701127_zpid/,": $410,000","12223 Woodside CT, Wauwatosa, WI 53226",3 bd,3 ba,"1,752 sqft","Sold: $410,000Sold on 03/17/23Zestimate®: $413,800"
1680469811-25,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/225-N-110th-St-Wauwatosa-WI-53226/95285409_zpid/,": $337,000","225 North 110th ST, Wauwatosa, WI 53226",3 bd,2 ba,"1,678 sqft","Sold: $337,000Sold on 03/20/23Zestimate®: $339,500"
1680469818-26,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/1550-N-123rd-St-Wauwatosa-WI-53226/110759169_zpid/,": $425,000","1550 North 123rd ST, Wauwatosa, WI 53226",2 bd,3 ba,"1,702 sqft","Sold: $425,000Sold on 03/22/23Zestimate®: $427,500"
1680469826-27,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/311-N-111th-St-Wauwatosa-WI-53226/110743288_zpid/,": $265,000","311 North 111th ST, Wauwatosa, WI 53226",4 bd,2 ba,"1,448 sqft","Sold: $265,000Sold on 03/22/23Zestimate®: $266,600"
1680469832-28,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/7424-Maple-Ter-Wauwatosa-WI-53213/110737828_zpid/,": $1,200,000","7424 Maple TER, Wauwatosa, WI 53213",6 bd,5 ba,"4,631 sqft","Sold: $1,200,000Sold on 03/22/23Zestimate®: $1,207,200"
1680469840-29,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/9504-W-Palmetto-Ave-Wauwatosa-WI-53222/110740730_zpid/,": $243,000","9504 West Palmetto AVE, Wauwatosa, WI 53222",2 bd,1 ba,"1,521 sqft","Sold: $243,000Sold on 03/24/23Zestimate®: $243,500"
1680469846-30,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/2414-N-65th-St-Wauwatosa-WI-53213/110722450_zpid/,": $375,000","2414 North 65th ST, Wauwatosa, WI 53213",4 bd,2 ba,"1,556 sqft","Sold: $375,000Sold on 03/24/23Zestimate®: $375,700"
1680469850-31,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/6418-W-Wright-St-Wauwatosa-WI-53213/110702393_zpid/,": $275,000","6418 West Wright ST, Wauwatosa, WI 53213",4 bd,2 ba,"1,782 sqft","Sold: $275,000Sold on 03/24/23Zestimate®: $277,100"
1680469857-32,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/1949-N-117th-St-Wauwatosa-WI-53226/110701743_zpid/,": $300,000","1949 North 117th ST, Wauwatosa, WI 53226",3 bd,2 ba,"1,786 sqft","Sold: $300,000Sold on 03/27/23Zestimate®: $300,800"
1680469864-33,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/2579-N-67th-St-Wauwatosa-WI-53213/110701697_zpid/,": $365,000","2579 North 67th ST, Milwaukee, WI 53213",4 bd,3 ba,"2,151 sqft","Sold: $365,000Sold on 03/27/23Zestimate®: $366,000"
1680469872-34,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/2604-N-91st-St-Wauwatosa-WI-53226/97879966_zpid/,": $310,000","2604 North 91st ST, Wauwatosa, WI 53226",3 bd,2 ba,"1,682 sqft","Sold: $310,000Sold on 03/27/23Zestimate®: $324,200"
1680469878-35,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/2656-N-71st-St-Wauwatosa-WI-53213/110707982_zpid/,": $326,500","2656 North 71st ST, Wauwatosa, WI 53213",3 bd,2 ba,"1,548 sqft","Sold: $326,500Sold on 03/28/23Zestimate®: $327,200"
1680469884-36,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/11718-W-Walnut-Rd-Wauwatosa-WI-53226/110703369_zpid/,": $437,000","11718 West Walnut RD, Wauwatosa, WI 53226",3 bd,2 ba,"2,209 sqft","Sold: $437,000Sold on 03/28/23Zestimate®: $437,900"
1680469895-37,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/4234-N-93rd-St-Wauwatosa-WI-53222/110754577_zpid/,": $295,000","4234 North 93rd ST, Wauwatosa, WI 53222",3 bd,2 ba,"1,533 sqft","Sold: $295,000Sold on 03/29/23Zestimate®: $301,142"
1680469900-38,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/7405-Milwaukee-Ave-Wauwatosa-WI-53213/110747091_zpid/,": $490,000","7405 Milwaukee AVE, Wauwatosa, WI 53213",3 bd,2 ba,"2,396 sqft","Sold: $490,000Sold on 03/30/23Zestimate®: $507,300"
1680469906-39,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/839-N-73rd-St-Wauwatosa-WI-53213/110739049_zpid/,": $725,000","839 North 73rd ST, Wauwatosa, WI 53213",3 bd,3 ba,"3,565 sqft","Sold: $725,000Sold on 03/30/23Zestimate®: $725,600"
1680469912-40,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/2636-N-91st-St-Wauwatosa-WI-53226/110728527_zpid/,": $241,000","2636 North 91st ST, Wauwatosa, WI 53226",2 bd,1 ba,"1,222 sqft","Sold: $241,000Sold on 03/31/23Zestimate®: $228,958"
1680470523-44,https://www.zillow.com/wauwatosa-wi/sold/2_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-88.03361892700195%2C%22east%22%3A-87.9759407043457%2C%22south%22%3A43.04602857339023%2C%22north%22%3A43.06264859104245%7D%2C%22mapZoom%22%3A14%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A7794%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sort%22%3A%7B%22value%22%3A%22days%22%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,,https://www.zillow.com/homedetails/2345-N-70th-St-Wauwatosa-WI-53213/110735336_zpid/,": $309,900","2345 North 70th St, Wauwatosa, WI 53213",4 bd,2 ba,"2,015 sqft","Sold: $309,900Sold on 09/09/22Zestimate®: $322,700"
1680470528-45,https://www.zillow.com/wauwatosa-wi/sold/2_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-88.03361892700195%2C%22east%22%3A-87.9759407043457%2C%22south%22%3A43.04602857339023%2C%22north%22%3A43.06264859104245%7D%2C%22mapZoom%22%3A14%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A7794%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sort%22%3A%7B%22value%22%3A%22days%22%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,,https://www.zillow.com/homedetails/2177-N-70th-St-Wauwatosa-WI-53213/110735733_zpid/,": $342,000","2177 North 70th St, Wauwatosa, WI 53213",3 bd,2 ba,"1,663 sqft","Sold: $342,000Sold on 09/12/22Zestimate®: $358,000"
